koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_time0bk,koi_impact,koi_teq,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,koi_kepmag,rho_star,rho_circ,density_discrepancy_ratio,log_koi_period,log_koi_duration,log_koi_depth,log_koi_prad,log_koi_insol,log_koi_model_snr,koi_period_err_ratio,koi_duration_err_ratio,koi_prad_err_ratio,koi_steff_err_ratio,v_shape_metric,planet_star_radius_ratio,depth_x_fpflag_co,snr_x_fpflag_nt,koi_score,koi_score koi_model_snr,koi_score koi_depth,koi_model_snr koi_depth,disposition
0.903,0,0,0,0,147.1949,0.505,498.0,2.0,4891.0,4.516,0.805,14.779,2095.500570054851,0.062218524158228164,33679.14811958158,3.2328789617002216,1.3302529702362658,5.85821882796062,0.9242589015233319,2.7421295147550726,1.916922612182061,5.773524587289491e-05,0.29259515003768866,0.03289471520084527,0.015947658962186126,125.48521729503332,1.8881964121783699,0.0,0.0,0.903,5.2374,315.2373,2024.78,0
0.0,0,1,0,0,132.421278,1.236,2026.0,1.0,6274.0,4.434,1.062,14.843,1315.1011178959257,0.13350049237846998,9850.83458219089,0.6742654228531856,0.8139921902521485,6.930103682645899,3.4815477343158143,8.291639237414152,4.515245478460105,4.809930995337866e-07,0.017980731974912904,0.3230720303690247,0.03124003824812878,812.792733874824,29.67040520677476,0.0,0.0,0.0,0.0,0.0,92352.64000000001,2
0.0,0,0,0,0,140.498929,0.02,294.0,1.0,5970.0,4.317,1.2,13.804,889.0013441916594,0.7104492063340518,1251.3211147885195,5.80693236828866,2.7346272159526626,9.026790060572392,2.4756977107026903,1.0152306797290584,5.87493073085203,7.415621874252427e-07,0.002214662439970672,0.16253442033660054,0.017922948070699673,577.763081243885,9.074992437506303,0.0,0.0,0.0,0.0,0.0,2954345.5,1
0.991,0,0,0,0,131.51535,0.479,1653.0,1.0,6187.0,4.499,0.937,15.189,1731.187361160505,0.0002535087229708548,6802074.761731261,0.9085118103644194,1.360463601085369,4.151039905898646,0.5653138090500605,7.479655305750779,2.424802725718295,1.0509046174790264e-05,0.07211867766781307,0.32894693559613736,0.028285113944030205,21.566590211666593,0.8110983873016143,0.0,0.0,0.991,10.2073,61.9375,643.75,0
0.334,0,0,0,0,341.09187,0.2236,308.0,1.0,5765.0,3.837,2.005,12.362,176.185144400029,0.042616932380900995,4134.0612872853835,6.3677222515268985,2.034313414062088,5.234844943592463,1.3190856114264407,1.1378330018213911,2.2617630984737906,1.609168511000518e-05,0.06168195250760455,0.5036494512228279,0.03503902861491084,28.087854958950658,1.3665828595596712,0.0,0.0,0.334,2.8724,62.3578,1605.62,0
0.0,0,0,1,1,131.89506,1.178,1103.0,1.0,5272.0,4.659,0.662,15.239,3541.8133799104835,0.00022724355864802082,15517692.595094822,1.1500642499674,2.2071749081893874,5.867034468729805,2.7265447837383743,5.862295056115144,3.686376323895818,6.5835900991385345e-06,0.05797279876726839,0.1316526518450524,0.029779969645337637,43.5352232960169,21.570964394313602,352.2,0.0,0.0,0.0,0.0,13700.58,2
0.388,1,0,0,0,564.12806,0.062,505.0,1.0,9935.0,4.205,1.996,9.397,412.97439606064756,0.0017005894525814666,242699.198349007,6.090369535112667,2.445299195193221,4.203198967134183,0.9820784724121582,2.7960610784249234,2.8390784635086144,1.8752359237788367e-05,0.03721283109807945,0.46107756821702506,0.027780573726443828,6.255932574906724,0.8366729275185734,0.0,16.1,0.388,6.2468,25.569200000000002,1060.9900000000002,2
0.0,1,0,0,1,132.2794,0.304,1004.0,1.0,5514.0,4.518,0.79,15.454,2145.144599718553,0.00012324976250721833,17264778.26944683,1.6498142095660289,2.05668455455722,4.679349584162343,0.598836501088704,5.484049766464073,2.4595888418037104,2.3623319269842288e-05,0.05923752797103696,0.18292660618706563,0.038084874857075644,15.645158996310997,1.0379733696539624,0.0,10.7,0.0,0.0,0.0,1141.69,2
0.334,0,0,0,0,343.313,0.0078,338.0,1.0,5172.0,3.534,3.264,13.815,53.868330202658676,2.6750836568591585,20.137056247747307,6.353044397302758,1.2922583691932963,6.155070385705995,2.0706530356467567,1.4085449700547104,2.0541237336955462,1.877055446583319e-05,0.1908367319815479,0.47041840253702705,0.02436194895120612,178.0006898899319,2.1231611142276,0.0,0.0,0.334,2.2712,157.01340000000002,3196.6800000000003,0
0.334,1,0,0,0,301.0957,0.6639,351.0,1.0,5258.0,3.771,2.004,13.636,151.42094299533483,0.006616448431328127,22882.073742876833,5.774574588757172,2.6397713603489157,5.730424405602622,1.547562508716013,1.5238800240724537,2.4932054526026954,6.479600980938069e-05,0.12298231183840802,0.7945943798393568,0.025294788888304526,23.60491747848444,1.8463064639189302,0.0,11.1,0.334,3.7074000000000003,102.57140000000001,3408.81,2
